optimizer_step,_step,_step__MIN,_step__MAX,word_embed_l2_param_norm,word_embed_l2_param_norm__MIN,word_embed_l2_param_norm__MAX,,,,,,
1,1,1,1,114.486679077148,114.486679077148,114.486679077148,,,,,,
2,3,3,3,114.473526000977,114.473526000977,114.473526000977,,,,,,
3,5,5,5,114.466888427734,114.466888427734,114.466888427734,,,,,,
4,7,7,7,114.459564208984,114.459564208984,114.459564208984,,,,,,
5,9,9,9,114.45255279541,114.45255279541,114.45255279541,,,,,,
6,11,11,11,114.445877075195,114.445877075195,114.445877075195,,,,,,
7,13,13,13,114.439163208008,114.439163208008,114.439163208008,,,,,,
8,15,15,15,114.43236541748,114.43236541748,114.43236541748,,,,,,
9,17,17,17,114.425399780273,114.425399780273,114.425399780273,,,,,,
10,19,19,19,114.418670654297,114.418670654297,114.418670654297,,,,,,
11,21,21,21,114.411651611328,114.411651611328,114.411651611328,,,,,,
12,23,23,23,114.404243469238,114.404243469238,114.404243469238,,,,,,
13,25,25,25,114.397148132324,114.397148132324,114.397148132324,,,,,,
14,27,27,27,114.390327453613,114.390327453613,114.390327453613,,,,,,
15,29,29,29,114.383819580078,114.383819580078,114.383819580078,,,,,,
16,31,31,31,114.377555847168,114.377555847168,114.377555847168,,,,,,
17,33,33,33,114.369834899902,114.369834899902,114.369834899902,,,,,,
18,35,35,35,114.362907409668,114.362907409668,114.362907409668,,,,,,
19,37,37,37,114.357467651367,114.357467651367,114.357467651367,,,,,,
20,39,39,39,114.352661132813,114.352661132813,114.352661132813,,,,,,
21,41,41,41,114.348762512207,114.348762512207,114.348762512207,,,,,,
22,43,43,43,114.346244812012,114.346244812012,114.346244812012,,,,,,
23,45,45,45,114.344299316406,114.344299316406,114.344299316406,,,,,,
24,47,47,47,114.343139648438,114.343139648438,114.343139648438,,,,,,
25,49,49,49,114.343551635742,114.343551635742,114.343551635742,,,,,,
26,51,51,51,114.345245361328,114.345245361328,114.345245361328,,,,,,
27,53,53,53,114.348915100098,114.348915100098,114.348915100098,,,,,,
28,55,55,55,114.354415893555,114.354415893555,114.354415893555,,,,,,
29,57,57,57,114.362503051758,114.362503051758,114.362503051758,,,,,,
30,59,59,59,114.373146057129,114.373146057129,114.373146057129,,,,,,
31,61,61,61,114.386932373047,114.386932373047,114.386932373047,,,,,,
32,63,63,63,114.404167175293,114.404167175293,114.404167175293,,,,,,
33,65,65,65,114.42520904541,114.42520904541,114.42520904541,,,,,,
34,67,67,67,114.45002746582,114.45002746582,114.45002746582,,,,,,
35,69,69,69,114.478485107422,114.478485107422,114.478485107422,,,,,,
36,71,71,71,114.510276794434,114.510276794434,114.510276794434,,,,,,
37,73,73,73,114.545295715332,114.545295715332,114.545295715332,,,,,,
38,75,75,75,114.583374023438,114.583374023438,114.583374023438,,,,,,
39,77,77,77,114.624435424805,114.624435424805,114.624435424805,,,,,,
40,79,79,79,114.668334960938,114.668334960938,114.668334960938,,,,,,
41,81,81,81,114.714797973633,114.714797973633,114.714797973633,,,,,,
42,83,83,83,114.763740539551,114.763740539551,114.763740539551,,,,,,
43,85,85,85,114.814994812012,114.814994812012,114.814994812012,,,,,,
44,87,87,87,114.868446350098,114.868446350098,114.868446350098,,,,,,
45,89,89,89,114.923751831055,114.923751831055,114.923751831055,,,,,,
46,91,91,91,114.980758666992,114.980758666992,114.980758666992,,,,,,
47,93,93,93,115.039321899414,115.039321899414,115.039321899414,,,,,,
48,95,95,95,115.099388122559,115.099388122559,115.099388122559,,,,,,
49,97,97,97,115.160789489746,115.160789489746,115.160789489746,,,,,,
